customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST100060,Male,1,No,No,34,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,32.07,1206.03,No
CUST100061,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),33.64,81.99,Yes
CUST100062,Female,0,No,No,60,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),18.0,987.39,Yes
CUST100063,Male,0,Yes,No,55,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),18.0,975.42,No
CUST100064,Male,0,No,No,54,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),43.93,2284.18,No
CUST100065,Female,0,No,No,17,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),18.2,350.7,No
CUST100066,Male,0,No,No,70,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),41.19,2930.17,No
CUST100067,Female,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),33.41,1596.59,No
CUST100068,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.46,785.98,No
CUST100069,Female,0,Yes,No,6,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),23.59,165.51,No
CUST100070,Female,0,No,Yes,3,No,No phone service,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),31.54,148.48,No
CUST100071,Male,0,Yes,No,42,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),18.0,743.19,No
CUST100072,Male,0,Yes,Yes,58,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,26.87,1478.89,No
CUST100073,Female,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,776.94,No
CUST100074,Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,59.23,3434.31,Yes
CUST100075,Female,0,No,Yes,5,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,18.0,100.53,No
CUST100076,Female,0,No,Yes,19,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),47.66,953.48,No
CUST100077,Male,0,Yes,No,30,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),39.75,1224.17,No
CUST100078,Male,0,Yes,Yes,21,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),18.0,380.83,Yes
CUST100079,Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,46.87,1468.84,Yes
CUST100080,Female,0,Yes,No,46,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,21.38,933.41,No
CUST100081,Female,0,No,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,43.46,1397.26,No
CUST100082,Male,0,No,No,26,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),18.55,454.47,No
CUST100083,Male,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),35.49,1416.12,No
CUST100084,Male,0,Yes,No,29,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),50.7,1462.7,No
CUST100085,Male,0,Yes,Yes,32,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,45.69,1464.31,No
CUST100086,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,489.17,No
CUST100087,Female,0,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.14,1068.62,No
CUST100088,Female,0,Yes,No,22,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,32.59,693.91,Yes
CUST100089,Male,0,No,No,42,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,18.0,687.61,No
CUST100090,Male,0,No,No,53,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,18.0,947.65,No
CUST100091,Female,1,Yes,Yes,67,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,18.0,1256.82,Yes
CUST100092,Female,0,Yes,Yes,52,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,52.18,2649.53,Yes
CUST100093,Female,0,No,No,39,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,26.14,995.41,No
CUST100094,Female,0,No,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,33.93,1905.18,No
CUST100095,Female,0,No,Yes,8,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),40.06,294.6,No
CUST100096,Female,0,No,No,9,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,31.31,363.04,No
CUST100097,Male,0,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),69.97,621.56,No
CUST100098,Male,0,No,No,29,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,18.0,462.86,No
CUST100099,Male,1,No,No,9,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),35.55,274.03,No
CUST100100,Male,0,No,No,57,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),18.0,997.34,No
CUST100101,Female,0,No,Yes,35,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),19.81,627.9,No
CUST100102,Male,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),29.46,1304.93,Yes
CUST100103,Female,0,Yes,No,56,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,34.4,1977.85,No
CUST100104,Female,0,No,Yes,42,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),34.64,1423.1,No
CUST100105,Male,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,42.62,921.35,No
CUST100106,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),61.78,244.57,No
CUST100107,Female,0,Yes,No,11,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,27.05,287.62,No
CUST100108,Male,1,No,Yes,48,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,23.02,1194.95,No
CUST100109,Male,0,Yes,No,23,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),18.0,431.9,No
CUST100110,Male,0,No,No,12,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),28.18,349.98,No
CUST100111,Male,1,No,Yes,67,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,49.44,3339.9,No
CUST100112,Female,0,Yes,No,71,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),25.65,1809.91,No
CUST100113,Female,0,No,Yes,33,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),18.0,560.9,Yes
CUST100114,Female,0,Yes,Yes,8,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),44.41,325.11,No
CUST100115,Female,1,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,52.13,452.75,No
CUST100116,Female,0,Yes,No,64,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.05,3077.29,No
CUST100117,Male,0,Yes,No,71,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),37.16,2616.48,No
CUST100118,Female,0,No,No,53,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),40.7,2105.85,No
CUST100119,Female,0,Yes,No,42,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,25.85,980.48,No
CUST100120,Female,1,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,1107.7,No
CUST100121,Female,0,Yes,Yes,58,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),18.0,1014.53,Yes
CUST100122,Male,0,No,No,66,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,61.81,4062.19,Yes
CUST100123,Male,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,1048.21,No
CUST100124,Male,0,No,No,37,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,18.11,697.34,No
CUST100125,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),32.1,223.5,No
CUST100126,Female,0,No,No,64,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),18.0,1169.97,No
CUST100127,Female,0,Yes,No,4,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,31.64,148.46,Yes
CUST100128,Male,0,No,Yes,42,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,18.0,713.92,Yes
CUST100129,Female,1,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.97,1209.7,No
CUST100130,Male,0,Yes,No,25,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),18.47,430.61,No
CUST100131,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),37.98,321.85,Yes
CUST100132,Male,0,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.16,881.39,No
CUST100133,Male,0,Yes,No,1,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),64.88,38.83,Yes
CUST100134,Female,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,51.69,1089.0,No
CUST100135,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),37.54,1012.76,No
CUST100136,Female,0,Yes,No,72,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,22.75,1577.1,No
CUST100137,Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,51.98,129.74,No
CUST100138,Male,0,No,Yes,8,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.27,555.68,No
CUST100139,Female,0,No,Yes,49,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),18.61,980.13,No
CUST100140,Female,1,Yes,No,9,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),31.49,237.57,No
CUST100141,Male,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.22,1174.8,No
CUST100142,Female,0,No,Yes,9,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.11,293.95,No
CUST100143,Male,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),31.78,1125.08,No
CUST100144,Male,1,No,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),45.71,2555.14,No
CUST100145,Male,0,No,No,61,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,48.84,2910.89,No
CUST100146,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,18.16,614.51,No
CUST100147,Female,0,Yes,No,40,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),37.5,1450.2,Yes
CUST100148,Male,0,Yes,No,47,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),23.21,1008.99,No
CUST100149,Male,0,Yes,No,21,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),30.63,556.89,No
CUST100150,Female,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,48.35,2959.91,No
CUST100151,Male,0,No,No,47,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,20.95,964.98,No
CUST100152,Male,1,Yes,No,63,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),34.23,2148.64,Yes
CUST100153,Male,1,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.9,2172.56,Yes
CUST100154,Female,0,No,Yes,40,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,50.46,1992.42,No
CUST100155,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,60.87,266.1,No
CUST100156,Female,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.12,1127.2,No
CUST100157,Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.4,767.53,Yes
CUST100158,Male,0,No,No,61,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),57.98,3489.76,No
CUST100159,Female,0,Yes,Yes,51,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),40.48,2096.69,No
CUST100160,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,58.79,1163.21,No
CUST100161,Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),54.65,754.33,No
CUST100162,Female,0,No,No,6,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,35.99,248.96,No
CUST100163,Female,0,Yes,Yes,65,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,18.0,1252.35,No
CUST100164,Male,0,No,No,11,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,64.33,697.92,No
CUST100165,Female,0,Yes,No,42,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),18.0,783.64,No
CUST100166,Male,0,Yes,No,39,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),26.08,1002.82,No
CUST100167,Male,0,No,Yes,0,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,44.11,,Yes
CUST100168,Male,0,Yes,No,57,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,18.0,1078.95,No
CUST100169,Female,0,Yes,No,2,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,30.2,61.32,Yes
CUST100170,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),58.16,400.65,Yes
CUST100171,Male,1,Yes,No,60,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),30.02,1799.63,No
CUST100172,Female,0,No,Yes,4,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),18.0,79.98,Yes
CUST100173,Male,0,No,Yes,25,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,34.58,890.72,Yes
CUST100174,Female,0,No,No,72,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),52.66,3826.4,No
CUST100175,Male,0,No,No,16,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,27.91,408.54,Yes
CUST100176,Female,1,Yes,Yes,65,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),18.0,1163.28,No
CUST100177,Male,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),37.07,1849.47,No
CUST100178,Female,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,36.3,1663.41,No
CUST100179,Male,0,Yes,No,39,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),18.0,654.43,No
CUST100180,Male,0,Yes,Yes,26,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),18.0,468.35,No
CUST100181,Male,0,Yes,No,39,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,20.69,831.55,Yes
CUST100182,Female,0,No,Yes,0,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),44.66,,Yes
CUST100183,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),42.59,1882.82,Yes
